"id","code","name","parent_id:id"
"taxcode_0","0","Tassazione",
"taxcode_ivc","IVC","IVA a credito","taxcode_0"
"taxcode_ivc22","IVC22","IVA a credito 22%","taxcode_ivc"
"taxcode_ivci","IVCI","IVA a credito (imponibile)","taxcode_0"
"taxcode_ivci22","IVCI22","IVA a credito 22% (imponibile)","taxcode_ivci"
"taxcode_ivd","IVD","IVA a debito","taxcode_0"
"taxcode_ivd22","IVD22","IVA a debito 22%","taxcode_ivd"
"taxcode_ivdi","IVDI","IVA a debito (imponibile)","taxcode_0"
"taxcode_ivdi22","IVDI22","IVA a debito 22% (imponibile)","taxcode_ivdi"
